Gene	ID	group_name
CAGL0A00209g	GO:0005886	plasma membrane
CAGL0A00209g	GO:0008250	oligosaccharyltransferase complex
CAGL0A00209g	GO:0016020	membrane
CAGL0A00209g	GO:0098796	membrane protein complex
CAGL0A00209g	GO:0140534	endoplasmic reticulum protein-containing complex
CAGL0A00209g	GO:1902494	catalytic complex
CAGL0A00209g	GO:1990234	transferase complex
CAGL0A00253g	GO:0043529	GET complex
CAGL0A00253g	GO:0140534	endoplasmic reticulum protein-containing complex
CAGL0A00275g	GO:0005737	cytoplasm
CAGL0A00275g	GO:0005956	protein kinase CK2 complex
CAGL0A00275g	GO:0034456	UTP-C complex
CAGL0A00275g	GO:0140513	nuclear protein-containing complex
CAGL0A00275g	GO:0140535	intracellular protein-containing complex
CAGL0A00297g	GO:0005739	mitochondrion
CAGL0A00297g	GO:0043227	membrane-bounded organelle
CAGL0A00297g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00363g	GO:0005829	cytosol
CAGL0A00363g	GO:0009316	3-isopropylmalate dehydratase complex
CAGL0A00363g	GO:0010494	cytoplasmic stress granule
CAGL0A00363g	GO:0035770	ribonucleoprotein granule
CAGL0A00363g	GO:0036464	cytoplasmic ribonucleoprotein granule
CAGL0A00363g	GO:0043228	non-membrane-bounded organelle
CAGL0A00363g	GO:0043232	intracellular non-membrane-bounded organelle
CAGL0A00363g	GO:0099080	supramolecular complex
CAGL0A00363g	GO:1902494	catalytic complex
CAGL0A00385g	GO:0005643	nuclear pore
CAGL0A00385g	GO:0005737	cytoplasm
CAGL0A00385g	GO:0140513	nuclear protein-containing complex
CAGL0A00407g	GO:0019773	proteasome core complex, alpha-subunit complex
CAGL0A00429g	GO:0005783	endoplasmic reticulum
CAGL0A00429g	GO:0016020	membrane
CAGL0A00429g	GO:0043227	membrane-bounded organelle
CAGL0A00429g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00451g	GO:0005634	nucleus
CAGL0A00451g	GO:0005829	cytosol
CAGL0A00451g	GO:0043227	membrane-bounded organelle
CAGL0A00451g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00495g	GO:0005739	mitochondrion
CAGL0A00495g	GO:0005886	plasma membrane
CAGL0A00495g	GO:0009986	cell surface
CAGL0A00495g	GO:0016020	membrane
CAGL0A00495g	GO:0016021	integral component of membrane
CAGL0A00495g	GO:0031224	intrinsic component of membrane
CAGL0A00495g	GO:0043227	membrane-bounded organelle
CAGL0A00495g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00495g	GO:0045121	membrane raft
CAGL0A00495g	GO:0098857	membrane microdomain
CAGL0A00517g	GO:0016020	membrane
CAGL0A00517g	GO:0016021	integral component of membrane
CAGL0A00517g	GO:0031166	integral component of vacuolar membrane
CAGL0A00517g	GO:0031224	intrinsic component of membrane
CAGL0A00517g	GO:0031300	intrinsic component of organelle membrane
CAGL0A00517g	GO:0031301	integral component of organelle membrane
CAGL0A00517g	GO:0031310	intrinsic component of vacuolar membrane
CAGL0A00517g	GO:0071627	integral component of fungal-type vacuolar membrane
CAGL0A00517g	GO:0071628	intrinsic component of fungal-type vacuolar membrane
CAGL0A00539g	GO:0017119	Golgi transport complex
CAGL0A00539g	GO:0099023	vesicle tethering complex
CAGL0A00561g	GO:0005634	nucleus
CAGL0A00561g	GO:0005829	cytosol
CAGL0A00561g	GO:0043227	membrane-bounded organelle
CAGL0A00561g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00583g	GO:0005634	nucleus
CAGL0A00583g	GO:0043227	membrane-bounded organelle
CAGL0A00583g	GO:0043231	intracellular membrane-bounded organelle
CAGL0A00605g	GO:0000151	ubiquitin ligase complex
CAGL0A00605g	GO:0000152	nuclear ubiquitin ligase complex
CAGL0A00605g	GO:0005680	anaphase-promoting complex
CAGL0A00605g	GO:0005737	cytoplasm
CAGL0A00605g	GO:0005815	microtubule organizing center
CAGL0A00605g	GO:0005816	spindle pole body
CAGL0A00605g	GO:0031461	cullin-RING ubiquitin ligase complex
CAGL0A00605g	GO:0140513	nuclear protein-containing complex
CAGL0A00605g	GO:0140535	intracellular protein-containing complex
CAGL0A00605g	GO:1902494	catalytic complex
CAGL0A00605g	GO:1990234	transferase complex
CAGL0A00627g	GO:0016021	integral component of membrane
CAGL0A00627g	GO:0031224	intrinsic component of membrane
CAGL0A00737g	GO:0016020	membrane
CAGL0A00737g	GO:0016021	integral component of membrane
