Gene	ID	group_name
CAGL0A00187g	GO:0043167	ion binding
CAGL0A00187g	GO:0043169	cation binding
CAGL0A00187g	GO:0046872	metal ion binding
CAGL0A00209g	GO:0004576	oligosaccharyl transferase activity
CAGL0A00209g	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
CAGL0A00209g	GO:0016740	transferase activity
CAGL0A00209g	GO:0016757	glycosyltransferase activity
CAGL0A00209g	GO:0016758	hexosyltransferase activity
CAGL0A00231g	GO:0004672	protein kinase activity
CAGL0A00231g	GO:0016301	kinase activity
CAGL0A00231g	GO:0016740	transferase activity
CAGL0A00231g	GO:0016772	transferase activity, transferring phosphorus-containing groups
CAGL0A00231g	GO:0016773	phosphotransferase activity, alcohol group as acceptor
CAGL0A00231g	GO:0140096	catalytic activity, acting on a protein
CAGL0A00253g	GO:0030674	protein-macromolecule adaptor activity
CAGL0A00253g	GO:0043495	protein-membrane adaptor activity
CAGL0A00253g	GO:0060090	molecular adaptor activity
CAGL0A00275g	GO:0004857	enzyme inhibitor activity
CAGL0A00275g	GO:0004860	protein kinase inhibitor activity
CAGL0A00275g	GO:0019207	kinase regulator activity
CAGL0A00275g	GO:0019210	kinase inhibitor activity
CAGL0A00275g	GO:0019887	protein kinase regulator activity
CAGL0A00275g	GO:0030234	enzyme regulator activity
CAGL0A00275g	GO:0030291	protein serine/threonine kinase inhibitor activity
CAGL0A00275g	GO:0098772	molecular function regulator
CAGL0A00297g	GO:0001671	ATPase activator activity
CAGL0A00297g	GO:0005515	protein binding
CAGL0A00297g	GO:0051087	chaperone binding
CAGL0A00297g	GO:0098772	molecular function regulator
CAGL0A00319g	GO:0004057	arginyltransferase activity
CAGL0A00319g	GO:0016740	transferase activity
CAGL0A00319g	GO:0016746	acyltransferase activity
CAGL0A00319g	GO:0016755	aminoacyltransferase activity
CAGL0A00319g	GO:0140096	catalytic activity, acting on a protein
CAGL0A00363g	GO:0003861	3-isopropylmalate dehydratase activity
CAGL0A00363g	GO:0016829	lyase activity
CAGL0A00363g	GO:0016835	carbon-oxygen lyase activity
CAGL0A00363g	GO:0016836	hydro-lyase activity
CAGL0A00363g	GO:0051536	iron-sulfur cluster binding
CAGL0A00363g	GO:0051539	4 iron, 4 sulfur cluster binding
CAGL0A00363g	GO:0051540	metal cluster binding
CAGL0A00407g	GO:0004175	endopeptidase activity
CAGL0A00407g	GO:0004298	threonine-type endopeptidase activity
CAGL0A00407g	GO:0008233	peptidase activity
CAGL0A00407g	GO:0016787	hydrolase activity
CAGL0A00407g	GO:0070003	threonine-type peptidase activity
CAGL0A00407g	GO:0140096	catalytic activity, acting on a protein
CAGL0A00429g	GO:0000246	delta24(24-1) sterol reductase activity
CAGL0A00429g	GO:0016491	oxidoreductase activity
CAGL0A00429g	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
CAGL0A00429g	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
CAGL0A00451g	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
CAGL0A00451g	GO:0001216	DNA-binding transcription activator activity
CAGL0A00451g	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
CAGL0A00451g	GO:0003676	nucleic acid binding
CAGL0A00451g	GO:0003677	DNA binding
CAGL0A00451g	GO:0003700	DNA-binding transcription factor activity
CAGL0A00451g	GO:0008144	drug binding
CAGL0A00451g	GO:0008270	zinc ion binding
CAGL0A00451g	GO:0043167	ion binding
CAGL0A00451g	GO:0043169	cation binding
CAGL0A00451g	GO:0043565	sequence-specific DNA binding
CAGL0A00451g	GO:0046872	metal ion binding
CAGL0A00451g	GO:0046914	transition metal ion binding
CAGL0A00451g	GO:0140110	transcription regulator activity
CAGL0A00473g	GO:0003676	nucleic acid binding
CAGL0A00473g	GO:0003723	RNA binding
CAGL0A00473g	GO:0003729	mRNA binding
CAGL0A00495g	GO:0000166	nucleotide binding
CAGL0A00495g	GO:0005215	transporter activity
CAGL0A00495g	GO:0005524	ATP binding
CAGL0A00495g	GO:0008324	cation transmembrane transporter activity
CAGL0A00495g	GO:0008553	P-type proton-exporting transporter activity
CAGL0A00495g	GO:0009678	pyrophosphate hydrolysis-driven proton transmembrane transporter activity
CAGL0A00495g	GO:0015075	ion transmembrane transporter activity
CAGL0A00495g	GO:0015078	proton transmembrane transporter activity
CAGL0A00495g	GO:0015318	inorganic molecular entity transmembrane transporter activity
CAGL0A00495g	GO:0015399	primary active transmembrane transporter activity
CAGL0A00495g	GO:0015662	P-type ion transporter activity
CAGL0A00495g	GO:0016462	pyrophosphatase activity
CAGL0A00495g	GO:0016787	hydrolase activity
CAGL0A00495g	GO:0016817	hydrolase activity, acting on acid anhydrides
CAGL0A00495g	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
CAGL0A00495g	GO:0016887	ATP hydrolysis activity
CAGL0A00495g	GO:0017076	purine nucleotide binding
CAGL0A00495g	GO:0017111	nucleoside-triphosphatase activity
CAGL0A00495g	GO:0019829	ATPase-coupled cation transmembrane transporter activity
CAGL0A00495g	GO:0022804	active transmembrane transporter activity
CAGL0A00495g	GO:0022853	active ion transmembrane transporter activity
CAGL0A00495g	GO:0022857	transmembrane transporter activity
CAGL0A00495g	GO:0022890	inorganic cation transmembrane transporter activity
CAGL0A00495g	GO:0030554	adenyl nucleotide binding
