species	gff_upmost_parent	gene_name	aliases	feature_type	description	Scerevisiae_orthologs	start	end	gene_length	chromosome	orthofinder_orthocluster	GOterms	GOterms_cgdCurated
Candida_glabrata	CAGL0A00105g		CAGL0A00110g.1	ORF|Uncharacterized	Protein of unknown function		1608	2636	1028	ChrA_C_glabrata_CBS138	OG0000002	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00110g	EPA19	CAGL-IPF16553|CAGL-IPF9521|CAGL0A00121g	pseudogene	Putative adhesin-like protein; belongs to adhesin cluster I; appears artificially broken into fragments due to sequencing errors; predicted GPI anchor		1608	4809	3201	ChrA_C_glabrata_CBS138		set()	set()
Candida_glabrata	CAGL0A00116g		CAGL0A00110g.2	ORF|Uncharacterized	Protein of unknown function		2671	4809	2138	ChrA_C_glabrata_CBS138	OG0000049	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00132g		Novel_proteincoding2	ORF|Uncharacterized	Protein of unknown function		11697	13042	1345	ChrA_C_glabrata_CBS138	OG0007050	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00154g		Novel_proteincoding3	ORF|Uncharacterized	Protein of unknown function		14977	15886	909	ChrA_C_glabrata_CBS138	OG0006892	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00165g		CAGL-IPF3306|CAGL-CDS3760.1|CAG57670.1	ORF|Uncharacterized	Protein of unknown function		17913	19017	1104	ChrA_C_glabrata_CBS138	OG0006482	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00187g		CAGL-IPF3307|CAGL-CDS0920.1|CAG57671.1	ORF|Uncharacterized	Has domain(s) with predicted metal ion binding activity	PIB2	19120	21857	2737	ChrA_C_glabrata_CBS138	OG0002187	{'GO:0005575', 'GO:0046872', 'GO:0008150'}	{'GO:0005575', 'GO:0046872', 'GO:0008150'}
Candida_glabrata	CAGL0A00209g		CAGL-IPF3308|CAGL-CDS1000.1|CAG57672.1	ORF|Uncharacterized	Ortholog(s) have dolichyl-diphosphooligosaccharide-protein glycotransferase activity, role in protein N-linked glycosylation and oligosaccharyltransferase complex, plasma membrane localization	STT3	22057	24493	2436	ChrA_C_glabrata_CBS138	OG0002517	{'GO:0006487', 'GO:0008250', 'GO:0006486', 'GO:0004579', 'GO:0016020', 'GO:0005886', 'GO:0004576'}	{'GO:0006487', 'GO:0008250', 'GO:0004579', 'GO:0005886'}
Candida_glabrata	CAGL0A00231g		CAGL-IPF3311|CAGL-CDS0831.1|CAG57673.1	ORF|Uncharacterized	Ortholog(s) have protein kinase activity and role in protein phosphorylation	ALK1	24957	27649	2692	ChrA_C_glabrata_CBS138	OG0007070	{'GO:0005575', 'GO:0006468', 'GO:0004672'}	{'GO:0005575', 'GO:0006468', 'GO:0004672'}
Candida_glabrata	CAGL0A00253g		CAGL-IPF3312|CAGL-CDS4223.1|CAG57674.1	ORF|Uncharacterized	Ortholog(s) have protein membrane anchor activity, role in protein insertion into ER membrane, retrograde vesicle-mediated transport, Golgi to ER and GET complex localization	GET1	27686	28779	1093	ChrA_C_glabrata_CBS138	OG0002404	{'GO:0045048', 'GO:0006890', 'GO:0043529', 'GO:0043495', 'GO:0071816'}	{'GO:0043529', 'GO:0006890', 'GO:0043495', 'GO:0045048'}
Candida_glabrata	CAGL0A00275g		CAGL-IPF3313|CAGL-CDS3855.1|CAG57675.1	ORF|Uncharacterized	Ortholog(s) have protein serine/threonine kinase inhibitor activity	CKB1	28538	30395	1857	ChrA_C_glabrata_CBS138	OG0000959	{'GO:0019887', 'GO:0009268', 'GO:0005737', 'GO:0006359', 'GO:0006974', 'GO:0006356', 'GO:0018107', 'GO:0035690', 'GO:0034456', 'GO:0030291', 'GO:0018105', 'GO:0005956', 'GO:0010378'}	{'GO:0009268', 'GO:0005737', 'GO:0006359', 'GO:0006974', 'GO:0006356', 'GO:0018107', 'GO:0035690', 'GO:0034456', 'GO:0030291', 'GO:0018105', 'GO:0005956', 'GO:0010378'}
Candida_glabrata	CAGL0A00297g		CAGL-IPF3314|CAGL-CDS4457.1|CAG57676.1	ORF|Uncharacterized	Ortholog(s) have ATPase activator activity, chaperone binding activity, role in aerobic respiration, iron-sulfur cluster assembly and mitochondrion localization	JAC1	29618	31199	1581	ChrA_C_glabrata_CBS138	OG0003530	{'GO:0005739', 'GO:0097428', 'GO:0001671', 'GO:0006457', 'GO:0009060', 'GO:0051087', 'GO:0016226', 'GO:0051259'}	{'GO:0005739', 'GO:0097428', 'GO:0001671', 'GO:0006457', 'GO:0009060', 'GO:0051087', 'GO:0016226', 'GO:0051259'}
Candida_glabrata	CAGL0A00319g		CAGL-IPF3315|CAGL-CDS2015.1|CAG57677.1	ORF|Uncharacterized	Ortholog(s) have arginyltransferase activity and role in protein arginylation	ATE1	30897	32583	1686	ChrA_C_glabrata_CBS138	OG0001395	{'GO:0005575', 'GO:0016598', 'GO:0004057'}	{'GO:0005575', 'GO:0016598', 'GO:0004057'}
Candida_glabrata	CAGL0A00341g		CAGL-IPF3316|CAGL-CDS4533.1|CAG57678.1	ORF|Uncharacterized	Ortholog(s) have role in sphingoid catabolic process	MPO1	32727	33858	1131	ChrA_C_glabrata_CBS138	OG0002737	{'GO:0046521', 'GO:0003674', 'GO:0005575'}	{'GO:0046521', 'GO:0003674', 'GO:0005575'}
Candida_glabrata	CAGL0A00363g		CAGL-IPF3317|CAGL-CDS0848.1|CAG57679.1	ORF|Uncharacterized	Ortholog(s) have 3-isopropylmalate dehydratase activity, role in leucine biosynthetic process and cytoplasmic stress granule, cytosol localization	LEU1	33938	36387	2449	ChrA_C_glabrata_CBS138	OG0001040	{'GO:0005829', 'GO:0009316', 'GO:0051539', 'GO:0009098', 'GO:0010494', 'GO:0003861'}	{'GO:0005829', 'GO:0009316', 'GO:0051539', 'GO:0009098', 'GO:0010494', 'GO:0003861'}
Candida_glabrata	CAGL0A00385g		CAGL-IPF3319|CAGL-CDS0356.1|CAG57680.1	ORF|Uncharacterized	Ortholog(s) have protein transporter activity, role in protein import into nucleus and cytoplasm, nuclear pore localization	KAP122	36449	40397	3948	ChrA_C_glabrata_CBS138	OG0003572	{'GO:0006606', 'GO:0005643', 'GO:0005737', 'GO:0008565'}	{'GO:0006606', 'GO:0005643', 'GO:0005737', 'GO:0008565'}
Candida_glabrata	CAGL0A00407g	SCL1	CAGL-IPF3321|CAGL-CDS3967.1|CAG57681.1	ORF|Uncharacterized	Alpha 1 subunit of the 20S proteasome	SCL1	40758	42735	1977	ChrA_C_glabrata_CBS138	OG0000840	{'GO:0004298', 'GO:0019773', 'GO:0051603', 'GO:0043161', 'GO:0006511', 'GO:0005839', 'GO:0010499', 'GO:0004175'}	{'GO:0004298', 'GO:0019773', 'GO:0043161', 'GO:0010499', 'GO:0004175'}
Candida_glabrata	CAGL0A00429g	ERG4	CAGL-IPF3323|CAGL-CDS2293.1|CAG57682.1	ORF|Uncharacterized	Putative C24 sterol reductase	ERG4	41622	47116	5494	ChrA_C_glabrata_CBS138	OG0003334	{'GO:0006696', 'GO:0005783', 'GO:0000246', 'GO:0016126', 'GO:0016628', 'GO:0016020'}	{'GO:0005783', 'GO:0006696', 'GO:0016020', 'GO:0000246'}
Candida_glabrata	CAGL0A00451g	PDR1	CAGL-IPF3325|CAGL-CDS0315.1|CAG57683.1|ZCF1	ORF|Verified	Zinc finger transcription factor, activator of drug resistance genes via pleiotropic drug response elements (PDRE); regulates drug efflux pumps and controls multi-drug resistance; gene upregulated and/or mutated in azole-resistant strains	PDR1	44303	51186	6883	ChrA_C_glabrata_CBS138	OG0001819	{'GO:0005829', 'GO:0006351', 'GO:2001040', 'GO:0030522', 'GO:0008144', 'GO:0005634', 'GO:0045944', 'GO:0001228', 'GO:0035690', 'GO:0006355', 'GO:0003700', 'GO:0008270', 'GO:0071466', 'GO:0003677', 'GO:0006357', 'GO:0043565', 'GO:0042493', 'GO:0000981'}	{'GO:0005829', 'GO:0006351', 'GO:2001040', 'GO:0030522', 'GO:0008144', 'GO:0005634', 'GO:0045944', 'GO:0001228', 'GO:0035690', 'GO:0003700', 'GO:0008270', 'GO:0071466', 'GO:0006357', 'GO:0043565', 'GO:0042493'}
Candida_glabrata	CAGL0A00473g		CAGL-IPF3326|CAGL-CDS0843.1|CAG57684.1	ORF|Uncharacterized	Ortholog(s) have mRNA binding activity	PUF4	51035	53637	2602	ChrA_C_glabrata_CBS138	OG0000884	{'GO:0003729', 'GO:0000288', 'GO:0008104', 'GO:0005575', 'GO:0003723', 'GO:0017148', 'GO:0001308'}	{'GO:0003729', 'GO:0000288', 'GO:0008104', 'GO:0005575', 'GO:0017148', 'GO:0001308'}
Candida_glabrata	CAGL0A00495g	PMA1	CAGL-IPF3328|CAGL-CDS0596.1|CAG57685.1	ORF|Uncharacterized	Putative plasma membrane proton pump with a predicted role in pH homeostasis	PMA1	53688	57757	4069	ChrA_C_glabrata_CBS138	OG0003441	{'GO:0005739', 'GO:0005524', 'GO:0008553', 'GO:0005215', 'GO:0009986', 'GO:0120029', 'GO:0140603', 'GO:1901691', 'GO:0016021', 'GO:1902906', 'GO:0006754', 'GO:0046872', 'GO:0000166', 'GO:0005886', 'GO:0006970', 'GO:1904263', 'GO:0051453', 'GO:0045121'}	{'GO:0009986', 'GO:0008553', 'GO:0005739', 'GO:0120029', 'GO:1901691', 'GO:0016021', 'GO:1902906', 'GO:0006754', 'GO:0046872', 'GO:0000166', 'GO:0005886', 'GO:0006970', 'GO:1904263', 'GO:0051453', 'GO:0045121'}
Candida_glabrata	CAGL0A00517g		CAGL-IPF3337|CAGL-CDS0297.1|CAG57686.1	ORF|Uncharacterized	Ortholog(s) have calcium-transporting ATPase activity, role in calcium ion transport, cellular calcium ion homeostasis, cellular response to drug, transmembrane transport and integral component of fungal-type vacuolar membrane localization	PMC1	58583	62513	3930	ChrA_C_glabrata_CBS138	OG0001730	{'GO:0005524', 'GO:0005215', 'GO:0006874', 'GO:0055085', 'GO:0140603', 'GO:0035690', 'GO:0016021', 'GO:0070588', 'GO:0005388', 'GO:0016020', 'GO:0046872', 'GO:0071627', 'GO:0000166', 'GO:0006816'}	{'GO:0005524', 'GO:0006874', 'GO:0055085', 'GO:0035690', 'GO:0070588', 'GO:0005388', 'GO:0046872', 'GO:0071627', 'GO:0000166', 'GO:0006816'}
Candida_glabrata	CAGL0A00539g		CAGL-IPF3338|CAGL-CDS3835.1|CAG57687.1	ORF|Uncharacterized	Ortholog(s) have role in intra-Golgi vesicle-mediated transport, protein localization by the Cvt pathway and Golgi transport complex localization	COG7	62388	63507	1119	ChrA_C_glabrata_CBS138	OG0002699	{'GO:0032258', 'GO:0006891', 'GO:0017119', 'GO:0003674'}	{'GO:0032258', 'GO:0006891', 'GO:0017119', 'GO:0003674'}
Candida_glabrata	CAGL0A00561g		CAGL-IPF3340|CAGL-CDS2681.1|CAG57688.1	ORF|Uncharacterized	Ortholog(s) have role in proteasome regulatory particle assembly, ubiquitin-dependent protein catabolic process and cytosol, nucleus localization	RPN14	63558	64997	1439	ChrA_C_glabrata_CBS138	OG0005569	{'GO:0005829', 'GO:0003674', 'GO:0005634', 'GO:0006511', 'GO:0070682', 'GO:0005515'}	{'GO:0005829', 'GO:0003674', 'GO:0005634', 'GO:0006511', 'GO:0070682'}
Candida_glabrata	CAGL0A00583g		CAGL-IPF3342|CAGL-CDS1283.1|CAG57689.1|ZCF2	ORF|Uncharacterized	Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated		65093	67444	2351	ChrA_C_glabrata_CBS138	OG0006618	{'GO:0006351', 'GO:0005634', 'GO:0006355', 'GO:0008270', 'GO:0003677', 'GO:0000981'}	{'GO:0006351', 'GO:0005634', 'GO:0006355', 'GO:0008270', 'GO:0003677', 'GO:0000981'}
Candida_glabrata	CAGL0A00605g		CAGL-IPF3343|CAGL-CDS1310.1|CAG57690.1	ORF|Uncharacterized	Ortholog(s) have anaphase-promoting complex binding, cyclin binding, ubiquitin ligase activator activity	CDH1	67119	70367	3248	ChrA_C_glabrata_CBS138	OG0001474	{'GO:0005680', 'GO:0005816', 'GO:0097027', 'GO:0005737', 'GO:0030332', 'GO:0005515', 'GO:1904668', 'GO:0010997', 'GO:1905786', 'GO:1990757', 'GO:0071851', 'GO:1902426', 'GO:0010697', 'GO:0007096'}	{'GO:0005737', 'GO:0005816', 'GO:0005680', 'GO:0030332', 'GO:1904668', 'GO:0010997', 'GO:1905786', 'GO:1990757', 'GO:0071851', 'GO:1902426', 'GO:0010697', 'GO:0007096'}
Candida_glabrata	CAGL0A00627g		CAGL-IPF3344|CAGL-CDS4276.1|CAG57691.1	ORF|Uncharacterized	Ortholog(s) have role in ER to Golgi vesicle-mediated transport	ERP6	69627	70612	985	ChrA_C_glabrata_CBS138	OG0005598	{'GO:0016021', 'GO:0003674', 'GO:0006888'}	{'GO:0016021', 'GO:0003674', 'GO:0006888'}
Candida_glabrata	CAGL0A00649g		CAGL-IPF3345|CAG57692.1	ORF|Uncharacterized	Protein of unknown function		70937	71320	383	ChrA_C_glabrata_CBS138	OG0006945	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00671r	tP(UGG)1	tRNA-Pro (TGG)|tP(TGG)1	tRNA|Uncharacterized	tRNA-Pro, predicted by tRNAscan-SE; UGG anticodon		71627	71735	108	ChrA_C_glabrata_CBS138		{'GO:0005575', 'GO:0033423', 'GO:0002182'}	{'GO:0005575', 'GO:0033423', 'GO:0002182'}
Candida_glabrata	CAGL0A00715g		CAGL-IPF3346|CAGL-CDS5609.1|CAG57693.1	ORF|Uncharacterized	Protein of unknown function		73333	73623	290	ChrA_C_glabrata_CBS138	OG0006792	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A00737g		CAGL-IPF3347|CAGL-CDS1769.1|CAG57694.1	ORF|Uncharacterized	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization		74737	76560	1823	ChrA_C_glabrata_CBS138	OG0000010	{'GO:0055085', 'GO:0016021', 'GO:0016020', 'GO:0022857'}	{'GO:0055085', 'GO:0016021', 'GO:0016020', 'GO:0022857'}
Candida_glabrata	CAGL0A00781g		CAGL-IPF3349|CAGL-CDS0235.1|CAG57695.1	ORF|Uncharacterized	Has domain(s) with predicted zinc ion binding activity		77494	81497	4003	ChrA_C_glabrata_CBS138	OG0002634	{'GO:0008150', 'GO:0005515', 'GO:0005575', 'GO:0008270', 'GO:0006623'}	{'GO:0005575', 'GO:0008270', 'GO:0008150'}
Candida_glabrata	CAGL0A00803g		CAGL-IPF3351|CAGL-CDS0271.1|CAG57696.1	ORF|Uncharacterized	Protein of unknown function		80753	85553	4800	ChrA_C_glabrata_CBS138	OG0002914	{'GO:0003674', 'GO:0006384', 'GO:0008150', 'GO:0005575', 'GO:0000127', 'GO:0003677'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
